paper_id,source_url,doi
04-BT-HOANG THI NGOC NHON(22-30)020,https://doi.org/10.22144/ctu.jen.2019.020,10.22144/ctu.jen.2019.020
04-BT-LE THI KIM LOAN(28-35)035,https://doi.org/10.22144/ctu.jen.2019.035,10.22144/ctu.jen.2019.035
04-CE-PHUONG HOANG YEN(30-38)004,https://doi.org/10.22144/ctu.jen.2017.004,10.22144/ctu.jen.2017.004
04-DINH XUAN HUNG(26-31)027,https://doi.org/10.22144/ctu.jen.2021.027,10.22144/ctu.jen.2021.027
04-E4-HUYNH THI THUY AN(26-33)091,https://doi.org/10.22144/ctu.jsi.2018.091,10.22144/ctu.jsi.2018.091
04-EC-LA HONG LIEN(24-36)035,https://doi.org/10.22144/ctu.jen.2018.035,10.22144/ctu.jen.2018.035
04-ED-HUYNH NGOC TUYEN(20-30),,
04-ED-LUU NGUYEN QUOC HUNG(30-36)004,https://doi.org/10.22144/ctu.jen.2020.004,10.22144/ctu.jen.2020.004
04-ED-NGO MY TRAN(27-37)021,https://doi.org/10.22144/ctu.jen.2020.021,10.22144/ctu.jen.2020.021
04-ED-NGUYEN VAN PHUC(23-29)020,https://doi.org/10.22144/ctu.jen.2018.020,10.22144/ctu.jen.2018.020
04-ED-PHUONG HOANG YEN(25-32)012,https://doi.org/10.22144/ctu.jen.2020.012,10.22144/ctu.jen.2020.012
04-ET-HUYNH QUOC KHANH(35-42)004,https://doi.org/10.22144/ctu.jen.2022.004,10.22144/ctu.jen.2022.004
04-ET-NGO SI HUY(28-36)017,https://doi.org/10.22144/ctu.jen.2022.017,10.22144/ctu.jen.2022.017
04-FI-TRUONG HOANG MINH(27-34)004,https://doi.org/10.22144/ctu.jen.2018.004,10.22144/ctu.jen.2018.004
05-1136-HOANG TU VO(35-41)320,https://doi.org/10.22144/ctujoisd.2024.320,10.22144/ctujoisd.2024.320
05-510-ET-TRAN VU AN(41-48)005,https://doi.org/10.22144/ctu.jen.2023.005,10.22144/ctu.jen.2023.005
05-595-A-LAM THANH TOAN(35-44)018,https://doi.org/10.22144/ctu.jen.2023.018,10.22144/ctu.jen.2023.018
05-624-AWOJIDE SHOLA(55-63)050,https://doi.org/10.22144/ctujoisd.2023.050,10.22144/ctujoisd.2023.050
05-641-NGUYEN THI HUYNH PHUONG(36-47)272,https://doi.org/10.22144/ctujoisd.2024.272,10.22144/ctujoisd.2024.272
05-680-VU DUC VINH(39-46)033,https://doi.org/10.22144/ctujoisd.2023.033,10.22144/ctujoisd.2023.033
05-744-Jacob Frederick P. Velza(42-56)290,https://doi.org/10.22144/ctujoisd.2024.290,10.22144/ctujoisd.2024.290
05-799-NGUYEN NHAT TAN(44-49)305,https://doi.org/10.22144/ctujoisd.2024.305,10.22144/ctujoisd.2024.305
05-848-TAN HUNG NGUYEN(28-34)278,https://doi.org/10.22144/ctujoisd.2024.278,10.22144/ctujoisd.2024.278
05-AE-NGUYEN VAN CAN(28-35)40,https://doi.org/10.22144/ctu.jen.2016.040,10.22144/ctu.jen.2016.040
05-AE-VAN PHAM DANG TRI(27-32),,
05-AG-LE VAN VANG(35-39)005,https://doi.org/10.22144/ctu.jen.2018.005,10.22144/ctu.jen.2018.005
05-AG-TRAN VIET QUYEN(31-37)024,https://doi.org/10.22144/ctu.jen.2017.024,10.22144/ctu.jen.2017.024
05-AV-TIEN NGOC TIEN(36-41)005,https://doi.org/10.22144/ctu.jen.2019.005,10.22144/ctu.jen.2019.005
05-AV-TRUONG THANH TRUNG(25-31),https://doi.org/10.22144/ctu.jen.2016.020,10.22144/ctu.jen.2016.020
05-BT-BANG HONG LAM(39-47)005,https://doi.org/10.22144/ctu.jen.2021.005,10.22144/ctu.jen.2021.005
05-BT-LE THI KIEU PHUONG(31-37)021,https://doi.org/10.22144/ctu.jen.2019.021,10.22144/ctu.jen.2019.021
05-BT-NGUYEN HOANG MINH SANG(36-41)036,https://doi.org/10.22144/ctu.jen.2019.036,10.22144/ctu.jen.2019.036
05-DE-LE TIN(39-46)005,https://doi.org/10.22144/ctu.jen.2017.005,10.22144/ctu.jen.2017.005
05-E6-LE THI THU VAN(34-38)092,https://doi.org/10.22144/ctu.jsi.2018.092,10.22144/ctu.jsi.2018.092
05-EC-PHAN VAN PHUC(37-44)036,https://doi.org/10.22144/ctu.jen.2018.036,10.22144/ctu.jen.2018.036
05-ED-NGUYEN ANH THI(30-38)038,https://doi.org/10.22144/ctu.jen.2021.038,10.22144/ctu.jen.2021.038
05-ED-NGUYEN ANH THI(38-46)022,https://doi.org/10.22144/ctu.jen.2020.022,10.22144/ctu.jen.2020.022
05-ED-NGUYEN THI HUYEN(37-44)005,https://doi.org/10.22144/ctu.jen.2020.005,10.22144/ctu.jen.2020.005
05-ED-PHAM NGOC NHAN(31-36),,
05-ED-PHUONG HOANG YEN(30-37)021,https://doi.org/10.22144/ctu.jen.2018.021,10.22144/ctu.jen.2018.021
05-ET-NGO TRUONG NGOC MAI(43-53)005,https://doi.org/10.22144/ctu.jen.2022.005,10.22144/ctu.jen.2022.005
05-FI-DANG THI HOANG OANH(37-45)019,https://doi.org/10.22144/ctu.jen.2022.019,10.22144/ctu.jen.2022.019
05-FT-LIEU MY DONG(33-39)013,https://doi.org/10.22144/ctu.jen.2020.013,10.22144/ctu.jen.2020.013
05-NGUYEN THI VAN(32-42)028,https://doi.org/10.22144/ctu.jen.2021.028,10.22144/ctu.jen.2021.028
06-1137-Abtahi Ahmed(42-51)321,https://doi.org/10.22144/ctujoisd.2024.321,10.22144/ctujoisd.2024.321
06-477-IT-NGUYEN BAO TRAN(49-57)006,https://doi.org/10.22144/ctu.jen.2023.006,10.22144/ctu.jen.2023.006
06-516-B-PHAM THI HUONG THAO(45-50)019,https://doi.org/10.22144/ctu.jen.2023.019,10.22144/ctu.jen.2023.019
06-625-CAO LUU NGOC HANH(64-71)051,https://doi.org/10.22144/ctujoisd.2023.051,10.22144/ctujoisd.2023.051
06-650-NGUYEN THI THUY NGAN(48-65)266,https://doi.org/10.22144/ctujoisd.2024.266,10.22144/ctujoisd.2024.266
06-684-PHAN YEN NGAN NGUYEN(47-55)034,https://doi.org/10.22144/ctujoisd.2023.034,10.22144/ctujoisd.2023.034
06-761-TRAN NHUT THANH(57-65)291,https://doi.org/10.22144/ctujoisd.2024.291,10.22144/ctujoisd.2024.291
06-792-LE ANH TUAN(35-43)279,https://doi.org/10.22144/ctujoisd.2024.279,10.22144/ctujoisd.2024.279
06-830-Divina Gracia S. Sabio(50-63)306,https://doi.org/10.22144/ctujoisd.2024.306,10.22144/ctujoisd.2024.306
